Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MainDomain,Skills,ContractType,Seniority,Certifications,AbsenceDaysLast12Months,MainAbsenceType,AttritionReason,ProjectHistory,SnapshotYear,MonthlyIncomeAtSnapshot,JobLevelAtSnapshot
41,Yes,Travel_Rarely,1102,Business Intelligence & Data,1,2,Informatique,1,2,Female,94,3,2,Consultant BI,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Business Intelligence / Data Viz,"SSIS, ETL, SQL",CDI,Senior,Google Data Analytics,17,Conges / RTT / courts arrets,"peu d augmentation, mauvais equilibre vie pro/perso","Business Intelligence / Data Viz - Nouvelle implementation 2025 (Consultant Senior, 2025); Business Intelligence / Data Viz - Integration 2023 (Lead Dev, 2023); Business Intelligence / Data Viz - Nouvelle implementation 2021 (Consultant Senior, 2021); Business Intelligence / Data Viz - Nouvelle implementation 2020 (Consultant Senior, 2020); Business Intelligence / Data Viz - Evolution 2019 (Tech Lead, 2019)",2025,6016,2
41,Yes,Travel_Rarely,1102,Business Intelligence & Data,1,2,Informatique,1,2,Female,94,3,2,Consultant BI,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Business Intelligence / Data Viz,"SSIS, ETL, SQL",CDI,Senior,Google Data Analytics,17,Conges / RTT / courts arrets,"peu d augmentation, mauvais equilibre vie pro/perso","Business Intelligence / Data Viz - Nouvelle implementation 2025 (Consultant Senior, 2025); Business Intelligence / Data Viz - Integration 2023 (Lead Dev, 2023); Business Intelligence / Data Viz - Nouvelle implementation 2021 (Consultant Senior, 2021); Business Intelligence / Data Viz - Nouvelle implementation 2020 (Consultant Senior, 2020); Business Intelligence / Data Viz - Evolution 2019 (Tech Lead, 2019)",2024,6326,2
41,Yes,Travel_Rarely,1102,Business Intelligence & Data,1,2,Informatique,1,2,Female,94,3,2,Consultant BI,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Business Intelligence / Data Viz,"SSIS, ETL, SQL",CDI,Senior,Google Data Analytics,17,Conges / RTT / courts arrets,"peu d augmentation, mauvais equilibre vie pro/perso","Business Intelligence / Data Viz - Nouvelle implementation 2025 (Consultant Senior, 2025); Business Intelligence / Data Viz - Integration 2023 (Lead Dev, 2023); Business Intelligence / Data Viz - Nouvelle implementation 2021 (Consultant Senior, 2021); Business Intelligence / Data Viz - Nouvelle implementation 2020 (Consultant Senior, 2020); Business Intelligence / Data Viz - Evolution 2019 (Tech Lead, 2019)",2023,6102,2
41,Yes,Travel_Rarely,1102,Business Intelligence & Data,1,2,Informatique,1,2,Female,94,3,2,Consultant BI,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Business Intelligence / Data Viz,"SSIS, ETL, SQL",CDI,Senior,Google Data Analytics,17,Conges / RTT / courts arrets,"peu d augmentation, mauvais equilibre vie pro/perso","Business Intelligence / Data Viz - Nouvelle implementation 2025 (Consultant Senior, 2025); Business Intelligence / Data Viz - Integration 2023 (Lead Dev, 2023); Business Intelligence / Data Viz - Nouvelle implementation 2021 (Consultant Senior, 2021); Business Intelligence / Data Viz - Nouvelle implementation 2020 (Consultant Senior, 2020); Business Intelligence / Data Viz - Evolution 2019 (Tech Lead, 2019)",2022,6785,2
49,No,Travel_Frequently,279,Gestion de Projet / PMO,8,1,Mathematiques & Statistiques,2,3,Male,61,2,2,Scrum Master,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Gestion de Projet / Scrum,"Risk Management, MS Project, Jira",CDI,Senior,SAFe Agilist,27,Maladie longue / Arret,Toujours en poste,"Gestion de Projet / Scrum - Optimisation 2025 (Architecte, 2025); Gestion de Projet / Scrum - Evolution 2023 (Tech Lead, 2023); Gestion de Projet / Scrum - Optimisation 2022 (Tech Lead, 2022); Gestion de Projet / Scrum - Integration 2021 (Tech Lead, 2021); Gestion de Projet / Scrum - Nouvelle implementation 2019 (Tech Lead, 2019)",2025,5294,2
49,No,Travel_Frequently,279,Gestion de Projet / PMO,8,1,Mathematiques & Statistiques,2,3,Male,61,2,2,Scrum Master,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Gestion de Projet / Scrum,"Risk Management, MS Project, Jira",CDI,Senior,SAFe Agilist,27,Maladie longue / Arret,Toujours en poste,"Gestion de Projet / Scrum - Optimisation 2025 (Architecte, 2025); Gestion de Projet / Scrum - Evolution 2023 (Tech Lead, 2023); Gestion de Projet / Scrum - Optimisation 2022 (Tech Lead, 2022); Gestion de Projet / Scrum - Integration 2021 (Tech Lead, 2021); Gestion de Projet / Scrum - Nouvelle implementation 2019 (Tech Lead, 2019)",2024,5352,2
49,No,Travel_Frequently,279,Gestion de Projet / PMO,8,1,Mathematiques & Statistiques,2,3,Male,61,2,2,Scrum Master,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Gestion de Projet / Scrum,"Risk Management, MS Project, Jira",CDI,Senior,SAFe Agilist,27,Maladie longue / Arret,Toujours en poste,"Gestion de Projet / Scrum - Optimisation 2025 (Architecte, 2025); Gestion de Projet / Scrum - Evolution 2023 (Tech Lead, 2023); Gestion de Projet / Scrum - Optimisation 2022 (Tech Lead, 2022); Gestion de Projet / Scrum - Integration 2021 (Tech Lead, 2021); Gestion de Projet / Scrum - Nouvelle implementation 2019 (Tech Lead, 2019)",2023,5756,2
37,Yes,Travel_Rarely,1373,ProdOps / Exploitation,2,2,Informatique,4,4,Male,92,2,1,Ingenieur Reseau,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Infrastructure & Production,"Docker, SQL, Cron, ITIL, Windows Server, Nagios",CDI,Senior,Red Hat RHCSA,26,Maladie longue / Arret,salaire insuffisant,"Infrastructure & Production - Nouvelle implementation 2025 (Consultant Senior, 2025); Infrastructure & Production - Migration 2024 (Consultant Senior, 2024); Infrastructure & Production - Optimisation 2022 (Architecte, 2022); Infrastructure & Production - Migration 2021 (Consultant Senior, 2021); Infrastructure & Production - Migration 2019 (Consultant Senior, 2019)",2025,2301,2
37,Yes,Travel_Rarely,1373,ProdOps / Exploitation,2,2,Informatique,4,4,Male,92,2,1,Ingenieur Reseau,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Infrastructure & Production,"Docker, SQL, Cron, ITIL, Windows Server, Nagios",CDI,Senior,Red Hat RHCSA,26,Maladie longue / Arret,salaire insuffisant,"Infrastructure & Production - Nouvelle implementation 2025 (Consultant Senior, 2025); Infrastructure & Production - Migration 2024 (Consultant Senior, 2024); Infrastructure & Production - Optimisation 2022 (Architecte, 2022); Infrastructure & Production - Migration 2021 (Consultant Senior, 2021); Infrastructure & Production - Migration 2019 (Consultant Senior, 2019)",2024,2021,1
37,Yes,Travel_Rarely,1373,ProdOps / Exploitation,2,2,Informatique,4,4,Male,92,2,1,Ingenieur Reseau,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Infrastructure & Production,"Docker, SQL, Cron, ITIL, Windows Server, Nagios",CDI,Senior,Red Hat RHCSA,26,Maladie longue / Arret,salaire insuffisant,"Infrastructure & Production - Nouvelle implementation 2025 (Consultant Senior, 2025); Infrastructure & Production - Migration 2024 (Consultant Senior, 2024); Infrastructure & Production - Optimisation 2022 (Architecte, 2022); Infrastructure & Production - Migration 2021 (Consultant Senior, 2021); Infrastructure & Production - Migration 2019 (Consultant Senior, 2019)",2023,2277,1
